キャンプ場名,住所,電話番号,URL
鵠沼保育園,〒251-0028 神奈川県藤沢市本鵠沼３丁目１６−２５ 藤沢市立鵠沼保育園,0466-36-4594,city.fujisawa.kanagawa.jp
ニチイキッズ 湘南鵠沼保育園,〒251-0028 神奈川県藤沢市本鵠沼３丁目１２−３３,0466-38-6261,nichiikids.net
ニチイキッズ本鵠沼,〒251-0028 神奈川県藤沢市本鵠沼４丁目７−９,,nichiikids.net
ブリーズキッズ保育園本鵠沼園,〒251-0027 神奈川県藤沢市鵠沼桜が岡３丁目５−４ 本鵠沼駅徒歩1分,0466-53-7226,breeze-kids.jp
ミラッツ湘南鵠沼保育園,〒251-0031 神奈川県藤沢市鵠沼藤が谷１丁目１−５ 江の電藤ヶ谷ビル,0466-47-7415,miratz.jp
